trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-14.731620188954954,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.997}",20,0,-33.55746676626241,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.994009}",25,0,-10.435997912597795,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.991026973}",30,0,-8.368608656983469,"{0: 22, 1: 8, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.988053892081}",20,0,-34.41246138738598,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.985089730404757}",25,0,-17.907677730191843,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9821344612135428}",20,0,-19.86142394626381,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.979188057829902}",25,0,-12.884084243768799,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9762504936564124}",25,0,-13.798264439910657,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9733217421754431}",20,0,-5.281101907305931,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9704017769489168}",30,0,-22.4893989681831,"{0: 19, 1: 11, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9674905716180701}",20,0,-25.27217392374573,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9645880999032158}",25,0,-22.88879140845211,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9616943356035061}",20,0,-7.660955460616785,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9588092525966957}",20,0,-0.45076433139101146,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9559328248389056}",20,0,-19.39306295043609,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9530650263643888}",20,0,-4.252965817254581,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9502058312852957}",25,0,-18.197685391353104,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9473552137914398}",20,0,-7.85116979221612,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9445131481500655}",25,0,-43.744261534113214,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9416796087056153}",20,0,-8.285508258487873,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9388545698794984}",20,0,-15.697498861933287,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9360380061698599}",25,0,-58.2052689237715,"{0: 11, 1: 14, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9332298921513503}",20,0,-4.405855861201052,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9304302024748963}",25,0,-7.146879999277126,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9276389118674716}",20,0,-34.61706098000213,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.9248559951318692}",20,0,-28.485531396988264,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9220814271464736}",25,0,-28.42683076345062,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9193151828650341}",25,0,-31.098727499511007,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.916557237316439}",25,0,-22.695288920255702,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.9138075656044897}",25,0,-38.292431513032895,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9110661429076763}",30,0,3.4867559470804452,"{0: 24, 1: 6, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.9083329444789532}",20,0,-5.232337725296106,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.9056079456455164}",25,0,-21.84441528852084,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.9028911218085798}",20,0,5.072600621155481,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.9001824484431541}",20,0,-23.834265341273912,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.8974819010978246}",20,0,-3.181597757664493,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.8947894553945311}",30,0,-38.06085788146058,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.8921050870283476}",30,0,-34.361314108847644,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.8894287717672625}",25,0,-22.580420880656952,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.8867604854519607}",30,0,-28.44519363038871,"{0: 19, 1: 11, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.8841002039956048}",20,0,-18.025463797796988,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.881447903383618}",25,0,-13.337329813564304,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.8788035596734671}",20,0,-8.44762343129449,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.8761671489944467}",20,0,-30.5821158881401,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.8735386475474634}",20,0,4.560851346195778,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.870918031604821}",25,0,-19.213604951807884,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.8683052775100065}",25,0,-12.02948626532366,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.8657003616774765}",25,0,-22.501675049695955,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.8631032605924441}",25,0,2.9846034046265837,"{0: 20, 1: 5, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.8605139508106667}",20,0,-5.468069820946869,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.8579324089582347}",30,0,15.814158476419154,"{0: 26, 1: 4, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.8553586117313601}",20,0,-20.99194871239275,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.852792535896166}",20,0,-41.901426365287534,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.8502341582884775}",20,0,-9.52096615658437,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.847683455813612}",20,0,-18.720673603288233,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
