trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.99}",20,0,-17.12552919078729,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.8, 'e': 0.9801}",25,0,-13.273302208877588,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.8, 'e': 0.9702989999999999}",30,0,-31.77857869767814,"{0: 19, 1: 11, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.8, 'e': 0.96059601}",25,0,-7.203324115596857,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.8, 'e': 0.9509900498999999}",25,0,-14.750638823772261,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.9414801494009999}",20,0,-26.282220957683748,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.8, 'e': 0.9320653479069899}",25,0,-27.702513540554886,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.8, 'e': 0.92274469442792}",20,0,-30.467810743139633,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.8, 'e': 0.9135172474836407}",25,0,-26.35287268744741,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.8, 'e': 0.9043820750088043}",30,0,-58.10618009930531,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.8953382542587163}",25,0,-7.403251763720898,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.8863848717161291}",20,0,-36.963546160136346,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.8, 'e': 0.8775210229989678}",30,0,-34.83497024071427,"{0: 20, 1: 9, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.8687458127689781}",35,0,-30.62388048368573,"{0: 23, 1: 12, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.8, 'e': 0.8600583546412883}",25,0,-31.061234290191134,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.8, 'e': 0.8514577710948754}",20,0,-10.51972760880245,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.8, 'e': 0.8429431933839266}",20,0,-35.31252542380757,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.8, 'e': 0.8345137614500874}",25,0,-34.06630543569212,"{0: 16, 1: 8, 2: 0, 3: 1, 4: 0}",0
19,False,"{'a': 0.8, 'e': 0.8261686238355865}",25,0,-40.841329452467726,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.8, 'e': 0.8179069375972307}",25,0,-24.739971218336624,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.8, 'e': 0.8097278682212583}",25,0,-12.245815475440702,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.8, 'e': 0.8016305895390458}",20,0,-11.390749017057148,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.8, 'e': 0.7936142836436553}",25,0,-13.639907308097452,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.8, 'e': 0.7856781408072188}",20,0,-6.865962548537657,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.8, 'e': 0.7778213593991465}",20,0,-2.2246909560765067,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.8, 'e': 0.7700431458051551}",25,0,-40.321053592362105,"{0: 15, 1: 9, 2: 0, 3: 1, 4: 0}",0
27,False,"{'a': 0.8, 'e': 0.7623427143471035}",30,0,-20.172815227198726,"{0: 20, 1: 10, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.8, 'e': 0.7547192872036325}",20,0,-56.752078917591874,"{0: 13, 1: 6, 2: 0, 3: 0, 4: 1}",0
29,False,"{'a': 0.8, 'e': 0.7471720943315961}",20,0,0.2602049247915801,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.8, 'e': 0.7397003733882802}",30,0,-64.54734380789267,"{0: 19, 1: 10, 2: 0, 3: 0, 4: 1}",0
31,False,"{'a': 0.8, 'e': 0.7323033696543974}",25,0,-10.745234999168488,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.8, 'e': 0.7249803359578534}",20,0,-6.390630053035033,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.8, 'e': 0.7177305325982748}",25,0,-14.595475102149827,"{0: 19, 1: 5, 2: 0, 3: 1, 4: 0}",0
34,False,"{'a': 0.8, 'e': 0.7105532272722921}",30,0,-57.30809822932415,"{0: 15, 1: 15, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.8, 'e': 0.7034476949995692}",25,0,1.896669352140747,"{0: 20, 1: 5, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.8, 'e': 0.6964132180495735}",25,0,-13.838616150473026,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.8, 'e': 0.6894490858690777}",20,0,7.6435374598914825,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.8, 'e': 0.682554595010387}",25,0,-55.59083736009544,"{0: 16, 1: 8, 2: 0, 3: 0, 4: 1}",0
39,False,"{'a': 0.8, 'e': 0.6757290490602831}",20,0,3.723294155268234,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.8, 'e': 0.6689717585696803}",25,0,30.237931012830774,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.8, 'e': 0.6622820409839835}",20,0,1.539379665211908,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.8, 'e': 0.6556592205741436}",20,0,5.468301413977601,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.8, 'e': 0.6491026283684022}",25,0,0.9703640859593416,"{0: 20, 1: 5, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.8, 'e': 0.6426116020847181}",30,0,-14.781537065090594,"{0: 21, 1: 9, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.8, 'e': 0.6361854860638709}",20,0,-37.151884219275395,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.8, 'e': 0.6298236312032323}",20,0,-18.0158362039224,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.8, 'e': 0.6235253948912}",20,0,-9.251886929688164,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.8, 'e': 0.617290140942288}",20,0,-14.95412432625927,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.8, 'e': 0.6111172395328651}",30,0,-12.745551684206506,"{0: 21, 1: 9, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.8, 'e': 0.6050060671375365}",20,0,14.59344664389128,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.8, 'e': 0.5989560064661611}",25,0,-35.39847752390418,"{0: 17, 1: 7, 2: 0, 3: 1, 4: 0}",0
52,False,"{'a': 0.8, 'e': 0.5929664464014994}",20,0,8.41700857525997,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.8, 'e': 0.5870367819374844}",25,0,-9.621482322099652,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.8, 'e': 0.5811664141181095}",20,0,-39.227879154652825,"{0: 14, 1: 5, 2: 0, 3: 0, 4: 1}",0
55,False,"{'a': 0.8, 'e': 0.5753547499769285}",25,0,19.658859315868458,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.8, 'e': 0.5696012024771592}",20,3,-0.28242475843325776,"{0: 13, 1: 4, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.8, 'e': 0.5639051904523876}",25,0,-3.789741361517955,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.8, 'e': 0.5582661385478638}",20,0,9.624991708799396,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.8, 'e': 0.5526834771623851}",30,0,-6.096988355164739,"{0: 23, 1: 7, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.8, 'e': 0.5471566423907612}",20,0,10.020776214102574,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.8, 'e': 0.5416850759668536}",20,3,-9.696012836678413,"{0: 13, 1: 3, 2: 0, 3: 1, 4: 0}",1
62,False,"{'a': 0.8, 'e': 0.536268225207185}",20,0,-31.109252375000544,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.8, 'e': 0.5309055429551132}",25,0,19.70389146130556,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.8, 'e': 0.525596487525562}",20,0,9.13311998317501,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.8, 'e': 0.5203405226503064}",25,0,4.928662122194796,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.8, 'e': 0.5151371174238033}",20,0,2.9981796144108,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.8, 'e': 0.5099857462495653}",20,0,-1.925066241994842,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.8, 'e': 0.5048858887870696}",25,0,23.022775035158475,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.8, 'e': 0.4998370298991989}",30,0,-24.363446254108922,"{0: 20, 1: 10, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.8, 'e': 0.49483865960020695}",20,0,-31.059779903332497,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
71,False,"{'a': 0.8, 'e': 0.4898902730042049}",20,0,3.3140489262428514,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.8, 'e': 0.48499137027416284}",30,0,26.044919043793815,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.8, 'e': 0.4801414565714212}",20,5,19.712753253412927,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.8, 'e': 0.475340042005707}",25,0,-0.7067445820601097,"{0: 20, 1: 5, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.8, 'e': 0.47058664158564995}",25,0,-14.203706146249859,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.8, 'e': 0.4658807751697934}",20,0,-13.48658831819451,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.8, 'e': 0.4612219674180955}",25,0,14.496876182894603,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
78,False,"{'a': 0.8, 'e': 0.45660974774391455}",20,6,18.77274703531013,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.8, 'e': 0.4520436502664754}",25,0,18.60612170277305,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.8, 'e': 0.44752321376381066}",20,9,9.260708375341432,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.8, 'e': 0.44304798162617254}",20,6,20.06867176848237,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.8, 'e': 0.4386175018099108}",20,11,-1.7525298982599493,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.8, 'e': 0.4342313267918117}",20,0,15.586351188282405,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.8, 'e': 0.4298890135238936}",30,0,20.81968144920095,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.8, 'e': 0.42559012338865465}",20,3,9.649651311681938,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.8, 'e': 0.4213342221547681}",25,0,-35.79208070638087,"{0: 19, 1: 5, 2: 0, 3: 0, 4: 1}",0
87,False,"{'a': 0.8, 'e': 0.41712087993322045}",20,0,-2.1762497742391402,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.8, 'e': 0.41294967113388825}",30,11,17.431330092510308,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.8, 'e': 0.40882017442254937}",20,0,-12.148433013351104,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.8, 'e': 0.4047319726783239}",25,1,18.964355128509236,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.8, 'e': 0.40068465295154065}",20,0,19.257604435929878,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.8, 'e': 0.39667780642202527}",20,2,18.624660765416834,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.8, 'e': 0.392711028357805}",25,12,4.120150833628049,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.8, 'e': 0.38878391807422696}",20,0,-1.0977994270742695,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.8, 'e': 0.3848960788934847}",20,0,16.32670240499226,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.8, 'e': 0.38104711810454983}",25,0,27.730290133952558,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.8, 'e': 0.37723664692350434}",30,7,29.183580444747562,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.8, 'e': 0.37346428045426927}",20,3,7.164582362430231,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.8, 'e': 0.36972963764972655}",35,0,23.8037893383301,"{0: 31, 1: 4, 2: 0, 3: 0, 4: 0}",0
100,False,"{'a': 0.8, 'e': 0.36603234127322926}",20,10,19.21096289170667,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.8, 'e': 0.36237201786049694}",25,15,19.08864603859481,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.8, 'e': 0.358748297681892}",25,13,10.439483769649,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.8, 'e': 0.35516081470507305}",20,13,12.45511442348796,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.8, 'e': 0.3516092065580223}",25,8,13.927864276481344,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.8, 'e': 0.34809311449244207}",20,0,27.387377507876497,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
106,False,"{'a': 0.8, 'e': 0.34461218334751764}",20,11,16.037288107245775,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.8, 'e': 0.34116606151404244}",25,5,19.865069111093735,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.8, 'e': 0.337754400898902}",20,3,18.012911993074916,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.8, 'e': 0.334376856889913}",20,0,18.964101627768564,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.8, 'e': 0.33103308832101386}",25,0,15.849452635826363,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.8, 'e': 0.3277227574378037}",25,8,25.655993540835343,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.8, 'e': 0.3244455298634257}",20,8,15.447908411459421,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.8, 'e': 0.3212010745647914}",30,11,6.081825049817726,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
114,False,"{'a': 0.8, 'e': 0.3179890638191435}",25,0,16.340787176906577,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.8, 'e': 0.31480917318095203}",20,7,14.74387405031207,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.8, 'e': 0.3116610814491425}",20,0,12.477835370116445,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
117,False,"{'a': 0.8, 'e': 0.30854447063465107}",25,5,30.85544448022122,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.8, 'e': 0.30545902592830454}",20,4,2.0217528853188425,"{0: 12, 1: 4, 2: 0, 3: 0, 4: 0}",1
