trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-96.84645457776507,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-136.30599388047455,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-193.2001519773629,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-83.71573127730912,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-214.57197736493703,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-142.70458502672963,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-82.54275711868117,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-111.00151475136329,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,14,-3.792315317538927,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-84.50599664552023,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-51.996134088067826,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-183.2779797587745,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,7,-129.99857929069225,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,1,-30.021987012570243,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-136.56660489412732,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-108.21636933078682,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,4,-0.6252187184535316,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,20,9.618303307556157,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-128.91262135023007,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-219.56935534755092,"{0: 16, 1: 3, 2: 7, 3: 0, 4: 4}",0
1,True,"{'a': 0, 'e': 0}",25,0,-102.5094840051858,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-122.05246081443778,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-44.47725316863279,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,0,-68.87544198733917,"{0: 22, 1: 0, 2: 6, 3: 2, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-68.648955309281,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-89.77766445748844,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-39.022975640134234,"{0: 15, 1: 3, 2: 0, 3: 2, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-140.69829803754158,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-200.66379804857738,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",35,0,-251.9490397396898,"{0: 20, 1: 3, 2: 6, 3: 2, 4: 4}",0
